orkestr-back  | 2026-06-05T17:57:04.610554712Z   rawBody: '{"changes":[{"id":"27161432-7565-4e23-ae85-7aed67d41702","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T17:57:04.204Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":0,"enabled":false,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotligh'
orkestr-back  | 2026-06-05T17:57:43.842959264Z   rawBody: '{"changes":[{"id":"506e2508-9bce-47e7-b03a-e2efe588c02e","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T17:57:43.583Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":0,"enabled":false,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotligh'
orkestr-back  | 2026-06-05T18:00:43.242786014Z   rawBody: '{"changes":[{"id":"e325f6f9-79b8-41c0-a1ab-d4242c963ab4","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T18:00:42.985Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":0,"enabled":false,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotligh'
orkestr-back  | 2026-06-05T18:02:53.961958487Z   rawBody: '{"changes":[{"id":"94867e32-304d-4dd4-9d0c-d39a5136b58b","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T18:02:56.937434262Z   rawBody: '{"changes":[{"id":"5851ca08-bef7-4ba6-b6aa-42d6a626587c","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T18:04:53.946423546Z   rawBody: '{"changes":[{"id":"ed4d86c0-f646-4227-a835-a5992e19861a","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T18:04:53.679Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":0,"enabled":false,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotligh'
orkestr-back  | 2026-06-05T18:06:05.420976546Z   rawBody: '{"changes":[{"id":"94665f36-d005-49df-869f-0e7b31b11624","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T18:06:05.098Z","lightPrograms":{"v":1,"activeProgramId":1,"programs":[{"id":1,"label":"Программа 1","faders":[{"faderId":1,"intensity":0,"enabled":false},{"faderId":2,"intensity":0,"enabled":false},{"faderId":3,"intensity":0'
orkestr-back  | 2026-06-05T18:06:23.635786327Z   rawBody: '{"changes":[{"id":"c3fd54d7-eaa3-43f3-bcc1-0cf31c8f9093","entityType":"Step","entityId":"cmlbf2rso000401uqc8pouqan:script:1","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script:1","sceneId":"cmlbf2rso000401uqc8pouqan:script","sourceId":1,"title":"Начало","markdown":"### Картина 1\\n\\n<!-- lk:06e7b835-ce07-47d8-abfd-0ee20ba1d904 -->\\n- **Свет**: {{lightpanel:06e7b835-ce07-47d8-abfd-0ee20ba1d904}}\\n\\n  \\n  Bckaout\\n  \\n- **Звук**: {{play:1}} [0. Запуск зрителей](track:1) · 100%\\'
orkestr-back  | 2026-06-05T18:07:09.366592128Z   rawBody: '{"changes":[{"id":"f5ed901e-a9fb-4f63-a12c-94a8a293ebd2","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T18:07:09.091Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":0,"enabled":false,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotligh'
orkestr-back  | 2026-06-05T18:07:52.557856815Z   rawBody: '{"changes":[{"id":"c29eebb3-a06b-4cf5-ae66-bbf267a2328b","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T18:07:52.257Z","lightFaders":{"v":1,"count":8,"faders":[{"id":1,"label":"F1","channel":2,"intensity":0,"enabled":false,"links":[{"channel":1},{"channel":3,"spotlightId":5},{"channel":4,"spotlightId":6},{"channel":5,"spotligh'
orkestr-back  | 2026-06-05T21:16:50.056158995Z   rawBody: '{"changes":[{"id":"519e34df-54b4-46e8-b9a1-f972ee13e859","entityType":"Scene","entityId":"cmlbf2rso000401uqc8pouqan:script","operation":"update","payload":{"id":"cmlbf2rso000401uqc8pouqan:script","projectId":"cmlbf2rso000401uqc8pouqan","name":"script","updatedAt":"2026-06-05T21:16:49.922Z","lightPrograms":{"v":1,"activeProgramId":1,"programs":[{"id":1,"label":"Программа 1","faders":[{"faderId":1,"intensity":0,"enabled":false},{"faderId":2,"intensity":0,"enabled":false},{"faderId":3,"intensity":0'
